total_crypto_borrow,total_crypto_collateral,total_external_crypto_lending,total_stablecoin_borrow,total_stablecoin_collateral,total_external_stablecoin_lending,weighted_crypto_rate,weighted_stablecoin_rate,date,day
787343684.7241945,3044784369.117819,262936257.1557965,776168295.8627962,149526247.7075235,713897036.7473003,0.0105067910760837,0.0575365178953541,2023-12-03,305
812655155.4374719,3091807095.0161986,252027026.0405726,783745741.530523,144409787.4371465,725832652.222517,0.010936392015566,0.0475451596524637,2023-12-04,306
834808216.2145505,3163736438.6889343,257449847.65989572,791664261.0214844,146833493.27437103,732212022.8595592,0.0112915830019617,0.0510155567569406,2023-12-05,307
825196984.184935,3158001255.0681853,256130742.09688935,802230713.5317569,147266130.30483046,747022322.3282514,0.0110592277207695,0.0510061027330376,2023-12-06,308
831182810.1887302,3251635660.093887,268032230.5841084,826839030.1950569,142622970.902821,766244345.4076308,0.010372448028583,0.0886397738882874,2023-12-07,309
850749561.7628769,3296047752.627795,261450469.0949827,832680894.5050559,143851883.2869354,770248329.9962034,0.0109563955308197,0.1066256293662172,2023-12-08,310
854565218.6070184,3184570051.50244,258364347.14438635,789153003.1545076,141077942.10489875,774072128.0039076,0.0132350738558139,0.0453600584852452,2023-12-09,311
865760184.3201126,3229136172.684515,240390357.7095809,802110735.6229029,141711103.85586688,771535762.3590848,0.0103806391136633,0.0470271252643866,2023-12-10,312
875933918.8974241,3269111618.041206,237973591.82425457,817311516.4315557,132142174.2370658,768017395.7124273,0.0103588443231092,0.0809268645112232,2023-12-11,313
871229047.170332,3248514068.2965136,235691556.49848035,811570391.1493057,142037892.0867225,760384739.1779408,0.0106920715244091,0.0583778412826757,2023-12-12,314
863148473.6967762,3351338345.742292,233118767.760362,852105674.4853519,152601413.12738487,772764818.0982593,0.0104743215591022,0.1724178654509282,2023-12-13,315
884166328.380133,3385654741.211684,237010633.6279545,848174392.7007952,159338389.62202337,774036497.762339,0.0103787621895126,0.0868055724920707,2023-12-14,316
867099396.6275823,3353674109.0110254,238885089.71392137,845131494.3312774,156851146.2883457,781081249.1899307,0.010768435204482,0.0744301834987259,2023-12-15,317
866666687.9750457,3362035663.60914,241341640.2452399,855051740.7149922,161210282.6852569,787491866.1109123,0.0105515572561302,0.049583932646388,2023-12-16,318
836790615.4377556,3331976700.668926,231214341.3092241,855625212.4464211,165118095.876422,785448664.3857528,0.0103366391441854,0.0469867555043696,2023-12-17,319
842881362.6700128,3353321230.628912,236530767.66580555,860724783.7559129,166165305.28491858,812682532.2362185,0.0103957182948045,0.0477625709261032,2023-12-18,320
819942170.0456368,3333331132.461294,230288136.867485,867359351.808551,145236584.6704175,819172722.2638856,0.0099110981351862,0.0543111329413054,2023-12-19,321
871311544.8438587,3365406140.308685,255824682.6462023,858857280.8185233,147351562.80886906,823370233.3966568,0.0097150088203834,0.0395975905020219,2023-12-20,322
880350121.0374105,3422867600.804084,260710532.33306795,872444594.4813068,126409665.63859583,831273800.1130234,0.0095477992667531,0.10874622649169,2023-12-21,323
894276857.377413,3459024339.081129,251417641.3783764,879206660.9213067,127234977.23926006,846284950.9481251,0.0099314864794149,0.0563668573887548,2023-12-22,324
893805954.0472804,3468877929.44548,244998127.71881753,889976540.7683332,155702680.4854042,828357349.6698477,0.010178550785206,0.0661928063597093,2023-12-23,325
894343295.0653151,3481323944.630093,244056816.1163493,896514015.6463544,160821848.3948584,835272866.2252804,0.0102978186757908,0.0612290774718641,2023-12-24,326
896060122.7536136,3500753077.778639,243195343.26999497,904765434.9610091,166493485.661166,830565934.5808668,0.0102445550506539,0.0807906089769109,2023-12-25,327
882987738.1238898,3499344896.3642044,258624235.53141657,909653761.947312,158692973.6258546,855251989.775391,0.0095579096602226,0.0689312359714302,2023-12-26,328
908699251.3347738,3592718768.2406425,254586090.2771523,923456637.9706118,145995678.5573046,871827644.2348891,0.0093887425577292,0.1038020008980058,2023-12-27,329
934011741.1097484,3702101347.5311465,260372439.83745745,941019833.4395642,142012456.50698873,887145696.7214983,0.0095357791224806,0.1238125482496808,2023-12-28,330
926530873.8042216,3688445952.445977,256854729.52960023,938746243.3063066,140073303.2877047,891863036.3494841,0.0098430741272789,0.0970889331030083,2023-12-29,331
912431950.2521688,3688200300.197268,252252872.8301131,934956258.9441766,135474812.19366905,898719669.1009672,0.0096060758964374,0.0613801946354271,2023-12-30,332
910941680.2089938,3683320855.069971,257553599.0237189,940666330.030257,135218451.0102497,902769530.0334604,0.0096422815497981,0.079256988058019,2023-12-31,333
922866618.787463,3701896506.091954,259420904.75999305,940563964.377524,134384269.45175114,901923693.0557928,0.009645487329829,0.0807728769992112,2024-01-01,334
925759607.90188,3724176094.7086306,261068104.96635732,952409559.201462,136161100.6300047,916916270.3195268,0.0096400295801623,0.0662281746686394,2024-01-02,335
890722574.1469848,3652677406.8442254,264491230.69488928,950354151.0100094,136846527.1906012,912263882.6138272,0.0096092257927087,0.0707087761001795,2024-01-03,336
902496004.6579744,3699827814.1271815,273514574.7709123,958037286.6444292,134911730.07324743,923836452.3398048,0.0102099800887168,0.067482483964922,2024-01-04,337
897479593.3319081,3823359940.358513,297439779.39478505,1028069999.0725324,130212624.9334351,1021160422.9963492,0.008200445006678,0.0546567622065674,2024-01-05,338
885779911.7654495,3812361966.041952,311872278.7849901,1029632202.3926866,136740094.5848016,1016872289.9900538,0.0081800489599032,0.0531918692467496,2024-01-06,339
891458147.7307959,3874186506.3209615,307955067.73326105,1050718187.21155,141934963.01114455,1011481690.01898,0.0077347332117728,0.0988754604176564,2024-01-07,340
888092436.3626974,3871846015.2351894,281811730.3159084,1050496393.7327487,140248453.93171644,1016960412.3435516,0.0076102527261447,0.0868449851502771,2024-01-08,341
903091792.2752304,3897874972.0203714,282516755.9756393,1055918994.5461425,126635156.80741537,1042983547.0054188,0.0077359602811123,0.0553023998693909,2024-01-09,342
980500434.26304,4191386431.4842434,294990954.1084162,1084462484.3830383,133739346.05695942,1053000576.9778444,0.0072672136770574,0.1076264183257541,2024-01-10,343
1002471545.8434178,4277086290.0592904,334697432.95499647,1127838527.5117297,123882367.15476224,1121041042.2720675,0.0065246280252674,0.0715008755712119,2024-01-11,344
969410670.6070136,4234414571.912837,323444687.82825863,1133541472.466266,126708574.13905096,1132618452.1528115,0.0066448830604855,0.0646998444103394,2024-01-12,345
967657751.1138012,4260667780.9029055,329760044.8656512,1144056301.52711,129372186.27470756,1150984756.43979,0.0065452919764176,0.0514720339969821,2024-01-13,346
979873658.2523084,4262230794.970082,313339202.168414,1144944198.0550067,126689214.54539952,1137185564.0946343,0.0070836578984584,0.0722433952515353,2024-01-14,347
972948830.9964504,4318544872.491945,323212127.0160638,1151123472.3406448,127904882.31724194,1139015730.592456,0.0069836124259239,0.0993233955857458,2024-01-15,348
992731507.4407412,4389200591.822898,328542803.0570329,1165544349.126012,126088176.35839231,1173844107.9526944,0.0068708581777366,0.0687156612603564,2024-01-16,349
999929112.8922625,4375708968.1093235,325945890.7194002,1175399499.211246,124720794.84158224,1180301913.898798,0.0069714666689562,0.0662610903184928,2024-01-17,350
1000991948.6174244,4445755608.99189,321597688.6533424,1197492799.0524745,135993692.09613118,1193541919.094263,0.0066854565581574,0.0931928332799363,2024-01-18,351
1017769661.4852931,4421992122.656437,301115322.59450495,1177667053.1804144,135758651.66361,1181241140.1998503,0.0074730315678141,0.062204534447446,2024-01-19,352
1008304440.314452,4430986453.71117,347180412.28220046,1179947258.9405189,137324623.13365224,1183777571.605628,0.0077138910797645,0.0539058923705291,2024-01-20,353
1044861296.728076,4463026446.512898,347747675.6213547,1184516931.7837305,135928583.04594603,1169866015.2990434,0.0083351619828214,0.0929014254028669,2024-01-21,354
1089055018.490904,4535890197.272266,285451939.275512,1188315793.0935185,144930617.06315628,1165972461.923352,0.0102138017221935,0.0825576738903766,2024-01-22,355
1039822597.8707676,4409527946.472411,329772086.2698605,1132953813.8262205,123238526.33936058,1159963273.413291,0.0095902778169578,0.0466868819820841,2024-01-23,356
1033192548.7794544,4424231221.597315,334544845.07795227,1138431266.8659427,120776313.07213208,1165384304.7278714,0.0091474411210484,0.0469486645434198,2024-01-24,357
